DISEASE,MICROBE,EVIDENCE,QUESTIONS,RELATION
MS,Bifidobacterium,"METHODS: To address whether a single microbe, Bifidobacterium dentium, could regulate important neurotransmitters, we examined Bifidobacteria genomes and explored neurotransmitter pathways in secreted cell-free supernatant using LC-MS/MS.",What is the relation between MS and Bifidobacterium?,negative
MS,Bifidobacteria,"METHODS: To address whether a single microbe, Bifidobacterium dentium, could regulate important neurotransmitters, we examined Bifidobacteria genomes and explored neurotransmitter pathways in secreted cell-free supernatant using LC-MS/MS.",What is the relation between MS and Bifidobacteria?,negative
IBD,Clostridium difficile,"FMT demonstrates relatively good effects in inducing clinical remission in IBD, but unlike Clostridium difficile infection, multiple FMT can enhance the clinical effect.",What is the relation between IBD and Clostridium difficile?,positive
IBD,Clostridium,"FMT demonstrates relatively good effects in inducing clinical remission in IBD, but unlike Clostridium difficile infection, multiple FMT can enhance the clinical effect.",What is the relation between IBD and Clostridium?,positive
cancer,Helicobacter pylori,Gastric adenocarcinoma is the fourth leading cause of cancer-related death and Helicobacter pylori confers the highest risk for this disease.,What is the relation between cancer and Helicobacter pylori?,relate
cancer,Helicobacter,Gastric adenocarcinoma is the fourth leading cause of cancer-related death and Helicobacter pylori confers the highest risk for this disease.,What is the relation between cancer and Helicobacter?,relate
MG,Pseudonocardia,We show that Pseudonocardia protects the ants against M. anisopliae across different Acromyrmex species and appears to afford higher protection than metapleural gland (MG) secretions.,What is the relation between MG and Pseudonocardia?,negative
AD,bifidobacteria,"However, the effective metabolites and mechanism of alleviating AD in bifidobacteria remain to be elucidated.",What is the relation between AD and bifidobacteria?,negative
AD,Bifidobacterium longum,This study aimed to explore the microbial metabolite and mechanism of Bifidobacterium longum to improve AD.,What is the relation between AD and Bifidobacterium longum?,negative
AD,Bifidobacterium,This study aimed to explore the microbial metabolite and mechanism of Bifidobacterium longum to improve AD.,What is the relation between AD and Bifidobacterium?,negative
AD,Lachnospiraceae,"Furthermore, B. longum CCFM1029 reshaped gut microbial composition in AD patients, increased fecal and serum I3C, and maintained the abundance of Lachnospiraceae related to tryptophan metabolism of gut microbiota.",What is the relation between AD and Lachnospiraceae?,positive
AD,bifidobacteria,"Indole derivates, microbial metabolites of tryptophan, may be the potential metabolites of bifidobacteria to alleviate AD via the AHR signaling pathway.",What is the relation between AD and bifidobacteria?,negative
plague,Yersinia,Two physical and climatic factors that were distant and recent prerequisites and a transformation trigger for a clone of the ancestral pseudotuberculous microbe Yersinia pseudotuberculosis O:1b (the causative agent of the Far East scarlet-like fever (FESLF)) into a population of the plague microbe derivative Y. pestis are considered.,What is the relation between plague and Yersinia?,relate
fever,Yersinia,Two physical and climatic factors that were distant and recent prerequisites and a transformation trigger for a clone of the ancestral pseudotuberculous microbe Yersinia pseudotuberculosis O:1b (the causative agent of the Far East scarlet-like fever (FESLF)) into a population of the plague microbe derivative Y. pestis are considered.,What is the relation between fever and Yersinia?,relate
Salmonella infection,Salmonella,Comparison between Salmonella infection models suggests how cooperation between effector genes drives tissue tropism in a pathogen group.,What is the relation between Salmonella infection and Salmonella?,relate
colorectal cancer,Fusobacterium,"It has been reported that some species of gut microbes, such as Fusobacterium nucleatum, are involved in the progression and metastasis of colorectal cancer and resistance to chemotherapy, with multiple mechanisms.",What is the relation between colorectal cancer and Fusobacterium?,relate
cancer,Fusobacterium,"It has been reported that some species of gut microbes, such as Fusobacterium nucleatum, are involved in the progression and metastasis of colorectal cancer and resistance to chemotherapy, with multiple mechanisms.",What is the relation between cancer and Fusobacterium?,relate
obese,Bacteroidetes,The Firmicutes/Bacteroidetes ratio of subjects in the obese category was significantly lower compared with those of subjects in the lean and normal categories in the young and middle-age groups.,What is the relation between obese and Bacteroidetes?,negative
obese,Firmicutes,The Firmicutes/Bacteroidetes ratio of subjects in the obese category was significantly lower compared with those of subjects in the lean and normal categories in the young and middle-age groups.,What is the relation between obese and Firmicutes?,negative
ten,Parabacteroides,"Among the top ten genera, the abundances of Bacteroides, Bifidobacterium, Anaerostipes, Blautia, Dorea, Fusicatenibacter, Lachnoclostridium, and Parabacteroides were significantly lower in the old group than in the young and middle-age groups.",What is the relation between ten and Parabacteroides?,negative
ten,Bifidobacterium,"Among the top ten genera, the abundances of Bacteroides, Bifidobacterium, Anaerostipes, Blautia, Dorea, Fusicatenibacter, Lachnoclostridium, and Parabacteroides were significantly lower in the old group than in the young and middle-age groups.",What is the relation between ten and Bifidobacterium?,negative
ten,Anaerostipes,"Among the top ten genera, the abundances of Bacteroides, Bifidobacterium, Anaerostipes, Blautia, Dorea, Fusicatenibacter, Lachnoclostridium, and Parabacteroides were significantly lower in the old group than in the young and middle-age groups.",What is the relation between ten and Anaerostipes?,negative
ten,Bacteroides,"Among the top ten genera, the abundances of Bacteroides, Bifidobacterium, Anaerostipes, Blautia, Dorea, Fusicatenibacter, Lachnoclostridium, and Parabacteroides were significantly lower in the old group than in the young and middle-age groups.",What is the relation between ten and Bacteroides?,negative
ten,Blautia,"Among the top ten genera, the abundances of Bacteroides, Bifidobacterium, Anaerostipes, Blautia, Dorea, Fusicatenibacter, Lachnoclostridium, and Parabacteroides were significantly lower in the old group than in the young and middle-age groups.",What is the relation between ten and Blautia?,negative
ten,Dorea,"Among the top ten genera, the abundances of Bacteroides, Bifidobacterium, Anaerostipes, Blautia, Dorea, Fusicatenibacter, Lachnoclostridium, and Parabacteroides were significantly lower in the old group than in the young and middle-age groups.",What is the relation between ten and Dorea?,negative
CRC,Streptococcus gallolyticus,"Recent studies have identified carcinogenic bacteria such as enterotoxigenic Bacteroides fragilis (ETBF) and Streptococcus gallolyticus (S. gallolyticus), as well as protective bacterial such as Akkermansia muciniphila (A. muciniphila), as potential targets of CRC treatment.",What is the relation between CRC and Streptococcus gallolyticus?,positive
CRC,Bacteroides fragilis,"Recent studies have identified carcinogenic bacteria such as enterotoxigenic Bacteroides fragilis (ETBF) and Streptococcus gallolyticus (S. gallolyticus), as well as protective bacterial such as Akkermansia muciniphila (A. muciniphila), as potential targets of CRC treatment.",What is the relation between CRC and Bacteroides fragilis?,negative
CRC,Streptococcus,"Recent studies have identified carcinogenic bacteria such as enterotoxigenic Bacteroides fragilis (ETBF) and Streptococcus gallolyticus (S. gallolyticus), as well as protective bacterial such as Akkermansia muciniphila (A. muciniphila), as potential targets of CRC treatment.",What is the relation between CRC and Streptococcus?,relate
CRC,Akkermansia,"Recent studies have identified carcinogenic bacteria such as enterotoxigenic Bacteroides fragilis (ETBF) and Streptococcus gallolyticus (S. gallolyticus), as well as protective bacterial such as Akkermansia muciniphila (A. muciniphila), as potential targets of CRC treatment.",What is the relation between CRC and Akkermansia?,negative
CRC,Bacteroides,"Recent studies have identified carcinogenic bacteria such as enterotoxigenic Bacteroides fragilis (ETBF) and Streptococcus gallolyticus (S. gallolyticus), as well as protective bacterial such as Akkermansia muciniphila (A. muciniphila), as potential targets of CRC treatment.",What is the relation between CRC and Bacteroides?,negative
AD,Staphylococcus,"The skin of AD patients is characterized by microbial dysbiosis, with a reduction of microbial diversity and overrepresentation of pathogenic Staphylococcus aureus (S.聽aureus).",What is the relation between AD and Staphylococcus?,positive
AD,Roseomonas,"The complex relationships between microbes within the skin microbiome consortia includes various species, such as Staphylococcal, Roseomonas and Cutibacterium strains, that can inhibit S.聽aureus and are potential probiotics for AD skin.",What is the relation between AD and Roseomonas?,relate
UC,Anaerotruncus,"Notably, according to the interaction networks of specific bacteria and ""bacteria and metabolites"" co-expression network, the SFE could enrich the abundance of the commensal bacterium Lactobacillus, Roseburia, norank_f__Muribaculaceae, Anaerotruncus, Candidatus_Saccharimona, and Parasutterella, which are proposed as potentially beneficial bacteria, thereby playing vital roles in the treatment of UC.",What is the relation between UC and Anaerotruncus?,relate
UC,Lactobacillus,"Notably, according to the interaction networks of specific bacteria and ""bacteria and metabolites"" co-expression network, the SFE could enrich the abundance of the commensal bacterium Lactobacillus, Roseburia, norank_f__Muribaculaceae, Anaerotruncus, Candidatus_Saccharimona, and Parasutterella, which are proposed as potentially beneficial bacteria, thereby playing vital roles in the treatment of UC.",What is the relation between UC and Lactobacillus?,negative
UC,Roseburia,"Notably, according to the interaction networks of specific bacteria and ""bacteria and metabolites"" co-expression network, the SFE could enrich the abundance of the commensal bacterium Lactobacillus, Roseburia, norank_f__Muribaculaceae, Anaerotruncus, Candidatus_Saccharimona, and Parasutterella, which are proposed as potentially beneficial bacteria, thereby playing vital roles in the treatment of UC.",What is the relation between UC and Roseburia?,relate
MG,Flavobacteriaceae,"Microbes belonging to the SAR11, SAR86, and SAR116 clades, Flavobacteriaceae, and MG IIa-L showed repeated interconnections in temperature-related modules, while the SAR202 clade, Marinimicrobia, DEV007 clade, and Arctic97B-4 and Sva0996 marine groups displayed repeated connections in nutrient-related modules.",What is the relation between MG and Flavobacteriaceae?,relate
acne,Propionibacterium acnes,Abnormal growth of lipophilic anaerobic bacteria such as Propionibacterium acnes is reported to be a major factor in the development of acne.,What is the relation between acne and Propionibacterium acnes?,positive
acne,Propionibacterium,Abnormal growth of lipophilic anaerobic bacteria such as Propionibacterium acnes is reported to be a major factor in the development of acne.,What is the relation between acne and Propionibacterium?,positive
acne,Lactococcus garvieae,"OTU535601 (Lachnospiraceae), OTU4460604 (Clostridiales), OTU3217705 (Moraxellaceae), OTU1066814 (Prevotella), and OTU455671 (Lactococcus garvieae) were the top 5 most abundant species found in patients with acne but were not present in HCs.",What is the relation between acne and Lactococcus garvieae?,relate
acne,Lachnospiraceae,"OTU535601 (Lachnospiraceae), OTU4460604 (Clostridiales), OTU3217705 (Moraxellaceae), OTU1066814 (Prevotella), and OTU455671 (Lactococcus garvieae) were the top 5 most abundant species found in patients with acne but were not present in HCs.",What is the relation between acne and Lachnospiraceae?,relate
acne,Clostridiales,"OTU535601 (Lachnospiraceae), OTU4460604 (Clostridiales), OTU3217705 (Moraxellaceae), OTU1066814 (Prevotella), and OTU455671 (Lactococcus garvieae) were the top 5 most abundant species found in patients with acne but were not present in HCs.",What is the relation between acne and Clostridiales?,relate
acne,Moraxellaceae,"OTU535601 (Lachnospiraceae), OTU4460604 (Clostridiales), OTU3217705 (Moraxellaceae), OTU1066814 (Prevotella), and OTU455671 (Lactococcus garvieae) were the top 5 most abundant species found in patients with acne but were not present in HCs.",What is the relation between acne and Moraxellaceae?,relate
acne,Lactococcus,"OTU535601 (Lachnospiraceae), OTU4460604 (Clostridiales), OTU3217705 (Moraxellaceae), OTU1066814 (Prevotella), and OTU455671 (Lactococcus garvieae) were the top 5 most abundant species found in patients with acne but were not present in HCs.",What is the relation between acne and Lactococcus?,relate
acne,Prevotella,"OTU535601 (Lachnospiraceae), OTU4460604 (Clostridiales), OTU3217705 (Moraxellaceae), OTU1066814 (Prevotella), and OTU455671 (Lactococcus garvieae) were the top 5 most abundant species found in patients with acne but were not present in HCs.",What is the relation between acne and Prevotella?,relate
acne,Stenotrophomonas,"OTU423327 (Achromobacter), OTU4423360 (Stenotrophomonas), OTU993127 (Porphyromonas), OTU677680 (Prevotella), and OTU269901 (Pseudomonas) were the top 5 most abundant species in HCs but were not found in patients with acne.",What is the relation between acne and Stenotrophomonas?,relate
acne,Achromobacter,"OTU423327 (Achromobacter), OTU4423360 (Stenotrophomonas), OTU993127 (Porphyromonas), OTU677680 (Prevotella), and OTU269901 (Pseudomonas) were the top 5 most abundant species in HCs but were not found in patients with acne.",What is the relation between acne and Achromobacter?,relate
acne,Porphyromonas,"OTU423327 (Achromobacter), OTU4423360 (Stenotrophomonas), OTU993127 (Porphyromonas), OTU677680 (Prevotella), and OTU269901 (Pseudomonas) were the top 5 most abundant species in HCs but were not found in patients with acne.",What is the relation between acne and Porphyromonas?,relate
acne,Pseudomonas,"OTU423327 (Achromobacter), OTU4423360 (Stenotrophomonas), OTU993127 (Porphyromonas), OTU677680 (Prevotella), and OTU269901 (Pseudomonas) were the top 5 most abundant species in HCs but were not found in patients with acne.",What is the relation between acne and Pseudomonas?,relate
acne,Prevotella,"OTU423327 (Achromobacter), OTU4423360 (Stenotrophomonas), OTU993127 (Porphyromonas), OTU677680 (Prevotella), and OTU269901 (Pseudomonas) were the top 5 most abundant species in HCs but were not found in patients with acne.",What is the relation between acne and Prevotella?,relate
IBD,Mycobacterium paratuberculosis,"The bacterial species associated with IBD include Mycobacterium paratuberculosis, adherent-invasive E. coli (AIEC), Helicobacter pylori, and Campylobacter concisus.",What is the relation between IBD and Mycobacterium paratuberculosis?,relate
IBD,Campylobacter concisus,"The bacterial species associated with IBD include Mycobacterium paratuberculosis, adherent-invasive E. coli (AIEC), Helicobacter pylori, and Campylobacter concisus.",What is the relation between IBD and Campylobacter concisus?,relate
IBD,Helicobacter pylori,"The bacterial species associated with IBD include Mycobacterium paratuberculosis, adherent-invasive E. coli (AIEC), Helicobacter pylori, and Campylobacter concisus.",What is the relation between IBD and Helicobacter pylori?,relate
IBD,Mycobacterium,"The bacterial species associated with IBD include Mycobacterium paratuberculosis, adherent-invasive E. coli (AIEC), Helicobacter pylori, and Campylobacter concisus.",What is the relation between IBD and Mycobacterium?,relate
IBD,Campylobacter,"The bacterial species associated with IBD include Mycobacterium paratuberculosis, adherent-invasive E. coli (AIEC), Helicobacter pylori, and Campylobacter concisus.",What is the relation between IBD and Campylobacter?,relate
IBD,Helicobacter,"The bacterial species associated with IBD include Mycobacterium paratuberculosis, adherent-invasive E. coli (AIEC), Helicobacter pylori, and Campylobacter concisus.",What is the relation between IBD and Helicobacter?,relate
cardiovascular disease,Porphyromonas gingivalis,"The oral microbiome, with a unique emphasis on Porphyromonas gingivalis has been associated with a constellation of inflammatory diseases such as cardiovascular disease, rheumatoid arthritis, Alzheimer's disease, type II diabetes, and non-alcoholic associated fatty liver disease.",What is the relation between cardiovascular disease and Porphyromonas gingivalis?,relate
cardiovascular disease,Porphyromonas,"The oral microbiome, with a unique emphasis on Porphyromonas gingivalis has been associated with a constellation of inflammatory diseases such as cardiovascular disease, rheumatoid arthritis, Alzheimer's disease, type II diabetes, and non-alcoholic associated fatty liver disease.",What is the relation between cardiovascular disease and Porphyromonas?,relate
rheumatoid arthritis,Porphyromonas gingivalis,"The oral microbiome, with a unique emphasis on Porphyromonas gingivalis has been associated with a constellation of inflammatory diseases such as cardiovascular disease, rheumatoid arthritis, Alzheimer's disease, type II diabetes, and non-alcoholic associated fatty liver disease.",What is the relation between rheumatoid arthritis and Porphyromonas gingivalis?,relate
rheumatoid arthritis,Porphyromonas,"The oral microbiome, with a unique emphasis on Porphyromonas gingivalis has been associated with a constellation of inflammatory diseases such as cardiovascular disease, rheumatoid arthritis, Alzheimer's disease, type II diabetes, and non-alcoholic associated fatty liver disease.",What is the relation between rheumatoid arthritis and Porphyromonas?,relate
liver disease,Porphyromonas gingivalis,"The oral microbiome, with a unique emphasis on Porphyromonas gingivalis has been associated with a constellation of inflammatory diseases such as cardiovascular disease, rheumatoid arthritis, Alzheimer's disease, type II diabetes, and non-alcoholic associated fatty liver disease.",What is the relation between liver disease and Porphyromonas gingivalis?,relate
liver disease,Porphyromonas,"The oral microbiome, with a unique emphasis on Porphyromonas gingivalis has been associated with a constellation of inflammatory diseases such as cardiovascular disease, rheumatoid arthritis, Alzheimer's disease, type II diabetes, and non-alcoholic associated fatty liver disease.",What is the relation between liver disease and Porphyromonas?,relate
arthritis,Porphyromonas gingivalis,"The oral microbiome, with a unique emphasis on Porphyromonas gingivalis has been associated with a constellation of inflammatory diseases such as cardiovascular disease, rheumatoid arthritis, Alzheimer's disease, type II diabetes, and non-alcoholic associated fatty liver disease.",What is the relation between arthritis and Porphyromonas gingivalis?,relate
arthritis,Porphyromonas,"The oral microbiome, with a unique emphasis on Porphyromonas gingivalis has been associated with a constellation of inflammatory diseases such as cardiovascular disease, rheumatoid arthritis, Alzheimer's disease, type II diabetes, and non-alcoholic associated fatty liver disease.",What is the relation between arthritis and Porphyromonas?,relate
diabetes,Porphyromonas gingivalis,"The oral microbiome, with a unique emphasis on Porphyromonas gingivalis has been associated with a constellation of inflammatory diseases such as cardiovascular disease, rheumatoid arthritis, Alzheimer's disease, type II diabetes, and non-alcoholic associated fatty liver disease.",What is the relation between diabetes and Porphyromonas gingivalis?,relate
diabetes,Porphyromonas,"The oral microbiome, with a unique emphasis on Porphyromonas gingivalis has been associated with a constellation of inflammatory diseases such as cardiovascular disease, rheumatoid arthritis, Alzheimer's disease, type II diabetes, and non-alcoholic associated fatty liver disease.",What is the relation between diabetes and Porphyromonas?,relate
vaginal,Lactobacillus,"Hopefully, emerging technologies will aid in the determination of what is a healthy vaginal microbiome, and provide insights into the roles of Lactobacillus, glycans and microbiome-related drivers of health and disease.",What is the relation between vaginal and Lactobacillus?,negative
respiratory syncytial virus,Haemophilus influenzae,"A presumptive microbiological cause was identified in 255 (92%) children with LRTI, with respiratory syncytial virus (127 [46%]), Haemophilus influenzae (70 [25%]), and Moraxella catarrhalis (65 [24%]) being most prevalent.",What is the relation between respiratory syncytial virus and Haemophilus influenzae?,relate
respiratory syncytial virus,Moraxella catarrhalis,"A presumptive microbiological cause was identified in 255 (92%) children with LRTI, with respiratory syncytial virus (127 [46%]), Haemophilus influenzae (70 [25%]), and Moraxella catarrhalis (65 [24%]) being most prevalent.",What is the relation between respiratory syncytial virus and Moraxella catarrhalis?,relate
respiratory syncytial virus,Haemophilus,"A presumptive microbiological cause was identified in 255 (92%) children with LRTI, with respiratory syncytial virus (127 [46%]), Haemophilus influenzae (70 [25%]), and Moraxella catarrhalis (65 [24%]) being most prevalent.",What is the relation between respiratory syncytial virus and Haemophilus?,relate
respiratory syncytial virus,Moraxella,"A presumptive microbiological cause was identified in 255 (92%) children with LRTI, with respiratory syncytial virus (127 [46%]), Haemophilus influenzae (70 [25%]), and Moraxella catarrhalis (65 [24%]) being most prevalent.",What is the relation between respiratory syncytial virus and Moraxella?,relate
scalp,Actinobacteria,The scalp and face were predominated by the fungi of Ascomycota and Basidiomycota and the bacteria of Actinobacteria and Firmicutes.,What is the relation between scalp and Actinobacteria?,relate
scalp,Firmicutes,The scalp and face were predominated by the fungi of Ascomycota and Basidiomycota and the bacteria of Actinobacteria and Firmicutes.,What is the relation between scalp and Firmicutes?,relate
mg,Bdellovibrionales,"At the genus level, 150 mg/L fluoride significantly reduced the abundances of Roseburia and Clostridium sensu stricto, and 100 mg/L and 150 mg/L fluoride obviously increased the abundances of Unclassified Ruminococcaceaes and Unclassified Bdellovibrionales, respectively.",What is the relation between mg and Bdellovibrionales?,negative
mg,Clostridium,"At the genus level, 150 mg/L fluoride significantly reduced the abundances of Roseburia and Clostridium sensu stricto, and 100 mg/L and 150 mg/L fluoride obviously increased the abundances of Unclassified Ruminococcaceaes and Unclassified Bdellovibrionales, respectively.",What is the relation between mg and Clostridium?,negative
mg,Roseburia,"At the genus level, 150 mg/L fluoride significantly reduced the abundances of Roseburia and Clostridium sensu stricto, and 100 mg/L and 150 mg/L fluoride obviously increased the abundances of Unclassified Ruminococcaceaes and Unclassified Bdellovibrionales, respectively.",What is the relation between mg and Roseburia?,negative
tuberculosis,Mycobacterium,Studies have shown that there will be an imbalance of intestinal microecology after infection with Mycobacterium tuberculosis.,What is the relation between tuberculosis and Mycobacterium?,positive
tuberculosis,Mycobacterium,And vise versa the imbalance of intestinal flora will also increase the susceptibility to Mycobacterium tuberculosis.,What is the relation between tuberculosis and Mycobacterium?,positive
tuberculosis,Prevotella,"Therefore, this paper reviews the correlation between intestinal microorganism Prevotella and pulmonary tuberculosis, in order to provide new ideas for the diagnosis and treatment of pulmonary tuberculosis.",What is the relation between tuberculosis and Prevotella?,relate
gastric cancer,Helicobacter pylori,It is increasingly being recognized that severe gastroduodenal diseases such as peptic ulcer and gastric cancer are not just the outcomes of Helicobacter pylori infection in the stomach.,What is the relation between gastric cancer and Helicobacter pylori?,relate
gastric cancer,Helicobacter,It is increasingly being recognized that severe gastroduodenal diseases such as peptic ulcer and gastric cancer are not just the outcomes of Helicobacter pylori infection in the stomach.,What is the relation between gastric cancer and Helicobacter?,relate
peptic ulcer,Helicobacter pylori,It is increasingly being recognized that severe gastroduodenal diseases such as peptic ulcer and gastric cancer are not just the outcomes of Helicobacter pylori infection in the stomach.,What is the relation between peptic ulcer and Helicobacter pylori?,relate
peptic ulcer,Helicobacter,It is increasingly being recognized that severe gastroduodenal diseases such as peptic ulcer and gastric cancer are not just the outcomes of Helicobacter pylori infection in the stomach.,What is the relation between peptic ulcer and Helicobacter?,relate
cancer,Helicobacter pylori,It is increasingly being recognized that severe gastroduodenal diseases such as peptic ulcer and gastric cancer are not just the outcomes of Helicobacter pylori infection in the stomach.,What is the relation between cancer and Helicobacter pylori?,relate
cancer,Helicobacter,It is increasingly being recognized that severe gastroduodenal diseases such as peptic ulcer and gastric cancer are not just the outcomes of Helicobacter pylori infection in the stomach.,What is the relation between cancer and Helicobacter?,relate
CRC,Fusobacterium,"Lactobacillaceae is a specific bacteria in the feces, while Escherichia, Enterococcus, and Fusobacterium are specific bacteria in tumor mucosa of CRC patients as compared with healthy individuals.",What is the relation between CRC and Fusobacterium?,relate
CRC,Enterococcus,"Lactobacillaceae is a specific bacteria in the feces, while Escherichia, Enterococcus, and Fusobacterium are specific bacteria in tumor mucosa of CRC patients as compared with healthy individuals.",What is the relation between CRC and Enterococcus?,relate
CRC,Escherichia,"Lactobacillaceae is a specific bacteria in the feces, while Escherichia, Enterococcus, and Fusobacterium are specific bacteria in tumor mucosa of CRC patients as compared with healthy individuals.",What is the relation between CRC and Escherichia?,relate
CRC,Bacteroides fragilis,"Cell experiment with3 CRC cell lines showed that Bacteroides fragilis isolated from the tumor mucosa of CRC patients produced significant inhibitory effects on cell proliferation (P < 0.0001), while the isolated strain Fusobacterium nucleatum obviously promoted the proliferation of the cell lines (P < 0.001).",What is the relation between CRC and Bacteroides fragilis?,negative
CRC,Fusobacterium,"Cell experiment with3 CRC cell lines showed that Bacteroides fragilis isolated from the tumor mucosa of CRC patients produced significant inhibitory effects on cell proliferation (P < 0.0001), while the isolated strain Fusobacterium nucleatum obviously promoted the proliferation of the cell lines (P < 0.001).",What is the relation between CRC and Fusobacterium?,negative
CRC,Bacteroides,"Cell experiment with3 CRC cell lines showed that Bacteroides fragilis isolated from the tumor mucosa of CRC patients produced significant inhibitory effects on cell proliferation (P < 0.0001), while the isolated strain Fusobacterium nucleatum obviously promoted the proliferation of the cell lines (P < 0.001).",What is the relation between CRC and Bacteroides?,negative
fever,Salmonella typhi,"Enteric fever caused by Salmonella typhi has been the most crucial health issue in rural people, especially in Southeast Asia and Africa.",What is the relation between fever and Salmonella typhi?,positive
fever,Salmonella,"Enteric fever caused by Salmonella typhi has been the most crucial health issue in rural people, especially in Southeast Asia and Africa.",What is the relation between fever and Salmonella?,positive
Salmonellosis,Salmonella,"Another disease, Salmonellosis, caused by a large group of bacteria of the genus Salmonella, cause substantial economic loss resulting from mortality and morbidity.",What is the relation between Salmonellosis and Salmonella?,positive
RA,Streptococcus anginosus,"RESULTS: At the genus level, the RA of Fusobacterium and Streptococcus at location A was the highest among the 5 locations, significantly different from that in location E. The dominant species of each genus was Fusobacterium nucleatum and Streptococcus anginosus.",What is the relation between RA and Streptococcus anginosus?,positive
RA,Streptococcus,"RESULTS: At the genus level, the RA of Fusobacterium and Streptococcus at location A was the highest among the 5 locations, significantly different from that in location E. The dominant species of each genus was Fusobacterium nucleatum and Streptococcus anginosus.",What is the relation between RA and Streptococcus?,positive
RA,Fusobacterium,"RESULTS: At the genus level, the RA of Fusobacterium and Streptococcus at location A was the highest among the 5 locations, significantly different from that in location E. The dominant species of each genus was Fusobacterium nucleatum and Streptococcus anginosus.",What is the relation between RA and Fusobacterium?,positive
RA,Peptostreptococcus,"The genus Peptostreptococcus also showed a similar trend, and the RA of Peptostreptococcus stomatis in location A was significantly associated with depth of tumor invasion and tumor size.",What is the relation between RA and Peptostreptococcus?,relate
CAS,Haemophilus parainfluenzae,"Specifically, Bacteroides eggerthii, Escherichia coli, and Klebsiella pneumoniae were the most abundant species in the CAS group, whereas Parabacteroides unclassified, Prevotella copri, Bacteroides sp 3_1_19, and Haemophilus parainfluenzae were the most abundant species in the control group.",What is the relation between CAS and Haemophilus parainfluenzae?,relate
CAS,Bacteroides eggerthii,"Specifically, Bacteroides eggerthii, Escherichia coli, and Klebsiella pneumoniae were the most abundant species in the CAS group, whereas Parabacteroides unclassified, Prevotella copri, Bacteroides sp 3_1_19, and Haemophilus parainfluenzae were the most abundant species in the control group.",What is the relation between CAS and Bacteroides eggerthii?,relate
CAS,Escherichia coli,"Specifically, Bacteroides eggerthii, Escherichia coli, and Klebsiella pneumoniae were the most abundant species in the CAS group, whereas Parabacteroides unclassified, Prevotella copri, Bacteroides sp 3_1_19, and Haemophilus parainfluenzae were the most abundant species in the control group.",What is the relation between CAS and Escherichia coli?,relate
CAS,Parabacteroides,"Specifically, Bacteroides eggerthii, Escherichia coli, and Klebsiella pneumoniae were the most abundant species in the CAS group, whereas Parabacteroides unclassified, Prevotella copri, Bacteroides sp 3_1_19, and Haemophilus parainfluenzae were the most abundant species in the control group.",What is the relation between CAS and Parabacteroides?,relate
CAS,Escherichia,"Specifically, Bacteroides eggerthii, Escherichia coli, and Klebsiella pneumoniae were the most abundant species in the CAS group, whereas Parabacteroides unclassified, Prevotella copri, Bacteroides sp 3_1_19, and Haemophilus parainfluenzae were the most abundant species in the control group.",What is the relation between CAS and Escherichia?,relate
CAS,Haemophilus,"Specifically, Bacteroides eggerthii, Escherichia coli, and Klebsiella pneumoniae were the most abundant species in the CAS group, whereas Parabacteroides unclassified, Prevotella copri, Bacteroides sp 3_1_19, and Haemophilus parainfluenzae were the most abundant species in the control group.",What is the relation between CAS and Haemophilus?,relate
CAS,Bacteroides,"Specifically, Bacteroides eggerthii, Escherichia coli, and Klebsiella pneumoniae were the most abundant species in the CAS group, whereas Parabacteroides unclassified, Prevotella copri, Bacteroides sp 3_1_19, and Haemophilus parainfluenzae were the most abundant species in the control group.",What is the relation between CAS and Bacteroides?,relate
CAS,Klebsiella,"Specifically, Bacteroides eggerthii, Escherichia coli, and Klebsiella pneumoniae were the most abundant species in the CAS group, whereas Parabacteroides unclassified, Prevotella copri, Bacteroides sp 3_1_19, and Haemophilus parainfluenzae were the most abundant species in the control group.",What is the relation between CAS and Klebsiella?,relate
CAS,Prevotella,"Specifically, Bacteroides eggerthii, Escherichia coli, and Klebsiella pneumoniae were the most abundant species in the CAS group, whereas Parabacteroides unclassified, Prevotella copri, Bacteroides sp 3_1_19, and Haemophilus parainfluenzae were the most abundant species in the control group.",What is the relation between CAS and Prevotella?,relate
syphilis,Treponema pallidum,"The etiological agent of syphilis, Treponema pallidum ssp.",What is the relation between syphilis and Treponema pallidum?,positive
syphilis,Treponema,"The etiological agent of syphilis, Treponema pallidum ssp.",What is the relation between syphilis and Treponema?,positive
PD,Akkermansia,"The composition of the gut microbiota, including Akkermansia muciniphila (A. muciniphila), is altered in many neurological diseases and may be involved in the pathophysiological processes of Parkinson's disease (PD).",What is the relation between PD and Akkermansia?,relate
cholera,Vibrio cholerae,"Recent studies indicate that the human intestinal microbiota could impact the outcome of infection by Vibrio cholerae, the etiological agent of the diarrheal disease cholera.",What is the relation between cholera and Vibrio cholerae?,relate
cholera,Vibrio,"Recent studies indicate that the human intestinal microbiota could impact the outcome of infection by Vibrio cholerae, the etiological agent of the diarrheal disease cholera.",What is the relation between cholera and Vibrio?,relate
SARS,Escherichia coli,"Aerosols of a surrogate of SARS-CoV-2, murine hepatitis coronavirus MHV-1, Escherichia coli or Aspergillus flavus spores were produced using a collision nebuliser and passed through the essential oil vapours, then collected on a six-stage Andersen sampler.",What is the relation between SARS and Escherichia coli?,positive
