DIETARY,MICROBE,EVIDENCE,QUESTIONS,RELATION
formula milk,Staphylococcus,"The microbial community of formula fed infants is more diverse, with Staphylococcus, Bacteroidetes, Clostridium, Enterococcus, and Enterobacterium being dominant, while Bifidobacterium and Lactobacillus are generally less abundant [12,15].",What is the relationship between formula milk and Staphylococcus?,positive
formula milk,Bacteroidetes(Bacteroidia),"The microbial community of formula fed infants is more diverse, with Staphylococcus, Bacteroidetes, Clostridium, Enterococcus, and Enterobacterium being dominant, while Bifidobacterium and Lactobacillus are generally less abundant [12,15].",What is the relationship between formula milk and Bacteroidetes(Bacteroidia)?,positive
formula milk,Clostridium,"The microbial community of formula fed infants is more diverse, with Staphylococcus, Bacteroidetes, Clostridium, Enterococcus, and Enterobacterium being dominant, while Bifidobacterium and Lactobacillus are generally less abundant [12,15].",What is the relationship between formula milk and Clostridium?,positive
formula milk,Enterococcus,"The microbial community of formula fed infants is more diverse, with Staphylococcus, Bacteroidetes, Clostridium, Enterococcus, and Enterobacterium being dominant, while Bifidobacterium and Lactobacillus are generally less abundant [12,15].",What is the relationship between formula milk and Enterococcus?,positive
formula milk,Enterobacterium,"The microbial community of formula fed infants is more diverse, with Staphylococcus, Bacteroidetes, Clostridium, Enterococcus, and Enterobacterium being dominant, while Bifidobacterium and Lactobacillus are generally less abundant [12,15].",What is the relationship between formula milk and Enterobacterium?,positive
formula milk,Bifidobacterium,"The microbial community of formula fed infants is more diverse, with Staphylococcus, Bacteroidetes, Clostridium, Enterococcus, and Enterobacterium being dominant, while Bifidobacterium and Lactobacillus are generally less abundant [12,15].",What is the relationship between formula milk and Bifidobacterium?,negative
formula milk,Lactobacillus,"The microbial community of formula fed infants is more diverse, with Staphylococcus, Bacteroidetes, Clostridium, Enterococcus, and Enterobacterium being dominant, while Bifidobacterium and Lactobacillus are generally less abundant [12,15].",What is the relationship between formula milk and Lactobacillus?,negative
every-other-day fasting,Firmicutes(Bacillota),"For instance, every-other-day fasting (EODF) treatment led to a shift in the gut microbiota composition, increasing the levels of Firmicutes while decreasing most other phyla and consequently increasing the production of SCFAs as compared to control animals fed ad libitum.",What is the relationship between every-other-day fasting and Firmicutes(Bacillota)?,positive
Fasting,Proteobacteria,"Furthermore when fasting was combined with conventional therapies (e.g., gemcitabine, temozolomide), most of the mice displayed a reduced tumor size as compared to the controls, indicating that fasting improves tumor-bearing survival and is safe, feasible, and well tolerated [23,27]. Food withdrawal decreases the abundance of potentially pathogenic Proteobacteria while increasing Akkermansia muciniphila levels [28].",What is the relationship between Fasting and Proteobacteria?,positive
Fasting,Akkermansia muciniphila,"Furthermore when fasting was combined with conventional therapies (e.g., gemcitabine, temozolomide), most of the mice displayed a reduced tumor size as compared to the controls, indicating that fasting improves tumor-bearing survival and is safe, feasible, and well tolerated [23,27]. Food withdrawal decreases the abundance of potentially pathogenic Proteobacteria while increasing Akkermansia muciniphila levels [28].",What is the relationship between Fasting and Akkermansia muciniphila?,positive
"high-fat (52% energy), low-fiber (12 g/day) Western-style diet",Fusobacterium nucleatum,"Interestingly, the abundance of the Fusobacterium nucleatum which is prevalent in human colorectal carcinomas and has been associated with their development, was shown to increase after only two weeks of a high-fat (52% energy), low-fiber (12 g/day) Western-style diet intervention [38].","What is the relationship between high-fat (52% energy), low-fiber (12 g/day) Western-style diet and Fusobacterium nucleatum?",positive
Mediterranean Diet,Lactobacillus,"Recently, Shivley et al. also showed that female monkeys eating an MD over 31 months experienced a shift in the microbiome of their mammary glands, most profoundly with a 10-fold increase of Lactobacillus abundance compared to Western diet-fed monkeys, which was accompanied by an increase in breast bile acid metabolites and a decrease in reactive oxygen species metabolites [42].",What is the relationship between Mediterranean Diet and Lactobacillus?,positive
"low-carbohydrate, high-protein weight loss diet",Collinsella aerofaciens,"In overweight individuals, a low-carbohydrate, high-protein weight loss diet had no effect on the proportion of different bacterial phyla but triggered significant decreases in Collinsella aerofaciens and E. rectale relatives [45].","What is the relationship between low-carbohydrate, high-protein weight loss diet and Collinsella aerofaciens?",negative
"low-carbohydrate, high-protein weight loss diet",E. rectale(Agathobacter rectalis),"In overweight individuals, a low-carbohydrate, high-protein weight loss diet had no effect on the proportion of different bacterial phyla but triggered significant decreases in Collinsella aerofaciens and E. rectale relatives [45].","What is the relationship between low-carbohydrate, high-protein weight loss diet and E. rectale(Agathobacter rectalis)?",negative
complex carbohydrates,Bifidobacterium longum,"Instead, diets rich in complex carbohydrates increased the levels of beneficial Bifidobacteria such as the subspecies Bifidobacterium longum, Bifidobacterium breve, and Bifidobacterium thetaiotaomicron [46], while, on the other hand, reducing the growth of opportunistic species such as Mycobacterium avium subspecies paratuberculosis and Enterobacteriaceae [46].",What is the relationship between complex carbohydrates and Bifidobacterium longum?,positive
complex carbohydrates,Bifidobacterium breve,"Instead, diets rich in complex carbohydrates increased the levels of beneficial Bifidobacteria such as the subspecies Bifidobacterium longum, Bifidobacterium breve, and Bifidobacterium thetaiotaomicron [46], while, on the other hand, reducing the growth of opportunistic species such as Mycobacterium avium subspecies paratuberculosis and Enterobacteriaceae [47].",What is the relationship between complex carbohydrates and Bifidobacterium breve?,positive
complex carbohydrates,Bifidobacterium thetaiotaomicron,"Instead, diets rich in complex carbohydrates increased the levels of beneficial Bifidobacteria such as the subspecies Bifidobacterium longum, Bifidobacterium breve, and Bifidobacterium thetaiotaomicron [46], while, on the other hand, reducing the growth of opportunistic species such as Mycobacterium avium subspecies paratuberculosis and Enterobacteriaceae [48].",What is the relationship between complex carbohydrates and Bifidobacterium thetaiotaomicron?,positive
complex carbohydrates,Mycobacterium avium subspecies paratuberculosis,"Instead, diets rich in complex carbohydrates increased the levels of beneficial Bifidobacteria such as the subspecies Bifidobacterium longum, Bifidobacterium breve, and Bifidobacterium thetaiotaomicron [46], while, on the other hand, reducing the growth of opportunistic species such as Mycobacterium avium subspecies paratuberculosis and Enterobacteriaceae [49].",What is the relationship between complex carbohydrates and Mycobacterium avium subspecies paratuberculosis?,negative
complex carbohydrates,Enterobacteriaceae,"Instead, diets rich in complex carbohydrates increased the levels of beneficial Bifidobacteria such as the subspecies Bifidobacterium longum, Bifidobacterium breve, and Bifidobacterium thetaiotaomicron [46], while, on the other hand, reducing the growth of opportunistic species such as Mycobacterium avium subspecies paratuberculosis and Enterobacteriaceae [50].",What is the relationship between complex carbohydrates and Enterobacteriaceae?,negative
refined sugars,Clostridium difficile,"Conversely, excessive intake of refined sugars is known to mediate noxious effects on human health, a phenomenon that is referred to as “carbotoxicity” [47], triggering the proliferation of pathogenic bacteria like Clostridium difficile and Clostridium perfringens by increasing bile output",What is the relationship between refined sugars and Clostridium difficile?,positive
refined sugars,Clostridium perfringens,"Conversely, excessive intake of refined sugars is known to mediate noxious effects on human health, a phenomenon that is referred to as “carbotoxicity” [47], triggering the proliferation of pathogenic bacteria like Clostridium difficile and Clostridium perfringens by increasing bile output",What is the relationship between refined sugars and Clostridium perfringens?,positive
fiber-rich food,Bacteroides acidifaciens,"Specifically, pancreatic cancer-bearing mice fed a fiber-rich food regimen displayed significantly reduced proinflammatory microorganisms such as Bacteroides acidifaciens, Escherichia coli, Ruminococcus gnavus, and Clostridium cocleatum and, on the other hand, increased levels of butyrate-producing bacteria such as Lachnospiraceae.",What is the relationship between fiber-rich food and Bacteroides acidifaciens?,negative
fiber-rich food,Escherichia coli,"Specifically, pancreatic cancer-bearing mice fed a fiber-rich food regimen displayed significantly reduced proinflammatory microorganisms such as Bacteroides acidifaciens, Escherichia coli, Ruminococcus gnavus, and Clostridium cocleatum and, on the other hand, increased levels of butyrate-producing bacteria such as Lachnospiraceae.",What is the relationship between fiber-rich food and Escherichia coli?,negative
fiber-rich food,Ruminococcus gnavus,"Specifically, pancreatic cancer-bearing mice fed a fiber-rich food regimen displayed significantly reduced proinflammatory microorganisms such as Bacteroides acidifaciens, Escherichia coli, Ruminococcus gnavus, and Clostridium cocleatum and, on the other hand, increased levels of butyrate-producing bacteria such as Lachnospiraceae.",What is the relationship between fiber-rich food and Ruminococcus gnavus?,negative
fiber-rich food,Clostridium cocleatum,"Specifically, pancreatic cancer-bearing mice fed a fiber-rich food regimen displayed significantly reduced proinflammatory microorganisms such as Bacteroides acidifaciens, Escherichia coli, Ruminococcus gnavus, and Clostridium cocleatum and, on the other hand, increased levels of butyrate-producing bacteria such as Lachnospiraceae.",What is the relationship between fiber-rich food and Clostridium cocleatum?,negative
fiber-rich food,Lachnospiraceae,"Specifically, pancreatic cancer-bearing mice fed a fiber-rich food regimen displayed significantly reduced proinflammatory microorganisms such as Bacteroides acidifaciens, Escherichia coli, Ruminococcus gnavus, and Clostridium cocleatum and, on the other hand, increased levels of butyrate-producing bacteria such as Lachnospiraceae.",What is the relationship between fiber-rich food and Lachnospiraceae?,positive
ketogenic diet,Cronobacter,"Finally, in infants with refractory epilepsy, a KD decreased seizure frequency in the majority of cases and significantly changed the gut microbial composition towards that of healthy controls: Bacteroides and Prevotella increased, while Cronobacter levels decreased by approximately 50% [59].",What is the relationship between ketogenic diet and Cronobacter?,negative
animal-based diet,Roseburia,"animal-based diets decrease levels of Firmicutes that metabolize plant polysaccharides (Roseburia, Eubacterium rectale and Ruminococcus bromii), while increasing the abundance of bile-tolerant microorganisms (Alistipes, Bilophila and Bacteroides) [92].",What is the relationship between animal-based diet and Roseburia?,negative
animal-based diet,Eubacterium rectale(Agathobacter rectalis),"animal-based diets decrease levels of Firmicutes that metabolize plant polysaccharides (Roseburia, Eubacterium rectale and Ruminococcus bromii), while increasing the abundance of bile-tolerant microorganisms (Alistipes, Bilophila and Bacteroides) [93].",What is the relationship between animal-based diet and Eubacterium rectale(Agathobacter rectalis)?,negative
animal-based diet,Ruminococcus bromii,"animal-based diets decrease levels of Firmicutes that metabolize plant polysaccharides (Roseburia, Eubacterium rectale and Ruminococcus bromii), while increasing the abundance of bile-tolerant microorganisms (Alistipes, Bilophila and Bacteroides) [94].",What is the relationship between animal-based diet and Ruminococcus bromii?,negative
animal-based diet,Alistipes,"animal-based diets decrease levels of Firmicutes that metabolize plant polysaccharides (Roseburia, Eubacterium rectale and Ruminococcus bromii), while increasing the abundance of bile-tolerant microorganisms (Alistipes, Bilophila and Bacteroides) [95].",What is the relationship between animal-based diet and Alistipes?,positive
animal-based diet,Bilophila,"animal-based diets decrease levels of Firmicutes that metabolize plant polysaccharides (Roseburia, Eubacterium rectale and Ruminococcus bromii), while increasing the abundance of bile-tolerant microorganisms (Alistipes, Bilophila and Bacteroides) [96].",What is the relationship between animal-based diet and Bilophila?,positive
animal-based diet,Bacteroides,"animal-based diets decrease levels of Firmicutes that metabolize plant polysaccharides (Roseburia, Eubacterium rectale and Ruminococcus bromii), while increasing the abundance of bile-tolerant microorganisms (Alistipes, Bilophila and Bacteroides) [97].",What is the relationship between animal-based diet and Bacteroides?,positive
flaxseed/fish oil,Bifidobacterium genus,"ω-3 PUFAs (flaxseed/fish oil) increased EPA and DHA concentrations, as well as the intestinal abundance of Bifidobacterium genus",What is the relationship between flaxseed/fish oil and Bifidobacterium genus?,positive
plant-based diet,Bifidobacterium,"In adults, plant-based diets have beneficial effects on gut microbiota, increasing Bifidobacterium and Lactobacillus species, elevating SCFA-producing bacteria and promoting Ruminococcus enterotype.",What is the relationship between plant-based diet and Bifidobacterium?,positive
plant-based diet,Lactobacillus,"In adults, plant-based diets have beneficial effects on gut microbiota, increasing Bifidobacterium and Lactobacillus species, elevating SCFA-producing bacteria and promoting Ruminococcus enterotype.",What is the relationship between plant-based diet and Lactobacillus?,positive
plant-based diet,Ruminococcus,"In adults, plant-based diets have beneficial effects on gut microbiota, increasing Bifidobacterium and Lactobacillus species, elevating SCFA-producing bacteria and promoting Ruminococcus enterotype.",What is the relationship between plant-based diet and Ruminococcus?,positive
benzoic acid (BA),Firmicutes(Bacillota),"According to Fig. 8, Firmicutes, Proteobacteria, and Bacteroidota exhibit dominance as bacterial phyla within the colon microbiota of mice. Furthermore, at the genus level, the predominant bacteria include Faecabacterium, Pseudomonas, and Lactobacillus.",What is the relationship between benzoic acid (BA) and Firmicutes(Bacillota)?,positive
benzoic acid (BA),Proteobacteria(Pseudomonadota),"According to Fig. 8, Firmicutes, Proteobacteria, and Bacteroidota exhibit dominance as bacterial phyla within the colon microbiota of mice. Furthermore, at the genus level, the predominant bacteria include Faecabacterium, Pseudomonas, and Lactobacillus.",What is the relationship between benzoic acid (BA) and Proteobacteria(Pseudomonadota)?,positive
benzoic acid (BA),Bacteroidota ,"According to Fig. 8, Firmicutes, Proteobacteria, and Bacteroidota exhibit dominance as bacterial phyla within the colon microbiota of mice. Furthermore, at the genus level, the predominant bacteria include Faecabacterium, Pseudomonas, and Lactobacillus.",What is the relationship between benzoic acid (BA) and Bacteroidota ?,positive
benzoic acid (BA),Faecabacterium,"According to Fig. 8, Firmicutes, Proteobacteria, and Bacteroidota exhibit dominance as bacterial phyla within the colon microbiota of mice. Furthermore, at the genus level, the predominant bacteria include Faecabacterium, Pseudomonas, and Lactobacillus.",What is the relationship between benzoic acid (BA) and Faecabacterium?,positive
benzoic acid (BA),Pseudomonas,"According to Fig. 8, Firmicutes, Proteobacteria, and Bacteroidota exhibit dominance as bacterial phyla within the colon microbiota of mice. Furthermore, at the genus level, the predominant bacteria include Faecabacterium, Pseudomonas, and Lactobacillus.",What is the relationship between benzoic acid (BA) and Pseudomonas?,positive
benzoic acid (BA),Lactobacillus,"According to Fig. 8, Firmicutes, Proteobacteria, and Bacteroidota exhibit dominance as bacterial phyla within the colon microbiota of mice. Furthermore, at the genus level, the predominant bacteria include Faecabacterium, Pseudomonas, and Lactobacillus.",What is the relationship between benzoic acid (BA) and Lactobacillus?,positive
benzoic acid (BA),Erysipelotrichaceae ,"at the genus level, the predominant bacteria include Faecabacterium, Pseudomonas, and Lactobacillus. The LEfSe analysis demonstrated significant disparities in bacterial communities across the various treatment groups. ",What is the relationship between benzoic acid (BA) and Erysipelotrichaceae ?,positive
benzoic acid (BA),Faecalibacterium ,"at the genus level, the predominant bacteria include Faecabacterium, Pseudomonas, and Lactobacillus. The LEfSe analysis demonstrated significant disparities in bacterial communities across the various treatment groups. ",What is the relationship between benzoic acid (BA) and Faecalibacterium ?,positive
benzoic acid (BA),Staphylococcus,"exhibits Spearman's correlations between the relative abundance of intestinal microbiota at the genus level and the parameters of inflammation and intestinal function in mice. The cecal levels of butyric acid demonstrated significant correlations with the relative abundances of Staphylococcus, Lactobacillus (showing a negative correlation), Megasphaera, and Prevotella_9 (showing a positive correlation) (P < 0.05). In terms of inflammation, the serum levels of IL-1β showed a strong correlation with the relative abundances of Megasphaera, Prevotella_9 (displaying a negative correlation), and Lactobacillus (displaying a positive correlation) (P < 0.01). Moreover, the serum levels of INF-γ exhibited a positive correlation with the relative abundance of Mucispirillum (P < 0.05). Regarding intestinal integrity, the serum levels of DAO were significantly correlated with the relative abundances of Megasphaera, Prevotella_9, Streptococcu, Bifidobacterium (displaying a negative correlation), and Ligilactobacillus, Staphylococcus (displaying a positive correlation) (P < 0.05). Furthermore, the serum levels of D-lactate",What is the relationship between benzoic acid (BA) and Staphylococcus?,negative
benzoic acid (BA),Lactobacillus ,"exhibits Spearman's correlations between the relative abundance of intestinal microbiota at the genus level and the parameters of inflammation and intestinal function in mice. The cecal levels of butyric acid demonstrated significant correlations with the relative abundances of Staphylococcus, Lactobacillus (showing a negative correlation), Megasphaera, and Prevotella_9 (showing a positive correlation) (P < 0.05). In terms of inflammation, the serum levels of IL-1β showed a strong correlation with the relative abundances of Megasphaera, Prevotella_9 (displaying a negative correlation), and Lactobacillus (displaying a positive correlation) (P < 0.01). Moreover, the serum levels of INF-γ exhibited a positive correlation with the relative abundance of Mucispirillum (P < 0.05). Regarding intestinal integrity, the serum levels of DAO were significantly correlated with the relative abundances of Megasphaera, Prevotella_9, Streptococcu, Bifidobacterium (displaying a negative correlation), and Ligilactobacillus, Staphylococcus (displaying a positive correlation) (P < 0.05). Furthermore, the serum levels of D-lactate",What is the relationship between benzoic acid (BA) and Lactobacillus ?,negative
benzoic acid (BA),Prevotella,"exhibits Spearman's correlations between the relative abundance of intestinal microbiota at the genus level and the parameters of inflammation and intestinal function in mice. The cecal levels of butyric acid demonstrated significant correlations with the relative abundances of Staphylococcus, Lactobacillus (showing a negative correlation), Megasphaera, and Prevotella_9 (showing a positive correlation) (P < 0.05). In terms of inflammation, the serum levels of IL-1β showed a strong correlation with the relative abundances of Megasphaera, Prevotella_9 (displaying a negative correlation), and Lactobacillus (displaying a positive correlation) (P < 0.01). Moreover, the serum levels of INF-γ exhibited a positive correlation with the relative abundance of Mucispirillum (P < 0.05). Regarding intestinal integrity, the serum levels of DAO were significantly correlated with the relative abundances of Megasphaera, Prevotella_9, Streptococcu, Bifidobacterium (displaying a negative correlation), and Ligilactobacillus, Staphylococcus (displaying a positive correlation) (P < 0.05). Furthermore, the serum levels of D-lactate",What is the relationship between benzoic acid (BA) and Prevotella?,positive
benzoic acid (BA),Megasphaera,"exhibits Spearman's correlations between the relative abundance of intestinal microbiota at the genus level and the parameters of inflammation and intestinal function in mice. The cecal levels of butyric acid demonstrated significant correlations with the relative abundances of Staphylococcus, Lactobacillus (showing a negative correlation), Megasphaera, and Prevotella_9 (showing a positive correlation) (P < 0.05). In terms of inflammation, the serum levels of IL-1β showed a strong correlation with the relative abundances of Megasphaera, Prevotella_9 (displaying a negative correlation), and Lactobacillus (displaying a positive correlation) (P < 0.01). Moreover, the serum levels of INF-γ exhibited a positive correlation with the relative abundance of Mucispirillum (P < 0.05). Regarding intestinal integrity, the serum levels of DAO were significantly correlated with the relative abundances of Megasphaera, Prevotella_9, Streptococcu, Bifidobacterium (displaying a negative correlation), and Ligilactobacillus, Staphylococcus (displaying a positive correlation) (P < 0.05). Furthermore, the serum levels of D-lactate",What is the relationship between benzoic acid (BA) and Megasphaera?,negative
benzoic acid (BA),Streptococcu,"exhibits Spearman's correlations between the relative abundance of intestinal microbiota at the genus level and the parameters of inflammation and intestinal function in mice. The cecal levels of butyric acid demonstrated significant correlations with the relative abundances of Staphylococcus, Lactobacillus (showing a negative correlation), Megasphaera, and Prevotella_9 (showing a positive correlation) (P < 0.05). In terms of inflammation, the serum levels of IL-1β showed a strong correlation with the relative abundances of Megasphaera, Prevotella_9 (displaying a negative correlation), and Lactobacillus (displaying a positive correlation) (P < 0.01). Moreover, the serum levels of INF-γ exhibited a positive correlation with the relative abundance of Mucispirillum (P < 0.05). Regarding intestinal integrity, the serum levels of DAO were significantly correlated with the relative abundances of Megasphaera, Prevotella_9, Streptococcu, Bifidobacterium (displaying a negative correlation), and Ligilactobacillus, Staphylococcus (displaying a positive correlation) (P < 0.05). Furthermore, the serum levels of D-lactate",What is the relationship between benzoic acid (BA) and Streptococcu?,negative
benzoic acid (BA),Bifidobacterium ,"exhibits Spearman's correlations between the relative abundance of intestinal microbiota at the genus level and the parameters of inflammation and intestinal function in mice. The cecal levels of butyric acid demonstrated significant correlations with the relative abundances of Staphylococcus, Lactobacillus (showing a negative correlation), Megasphaera, and Prevotella_9 (showing a positive correlation) (P < 0.05). In terms of inflammation, the serum levels of IL-1β showed a strong correlation with the relative abundances of Megasphaera, Prevotella_9 (displaying a negative correlation), and Lactobacillus (displaying a positive correlation) (P < 0.01). Moreover, the serum levels of INF-γ exhibited a positive correlation with the relative abundance of Mucispirillum (P < 0.05). Regarding intestinal integrity, the serum levels of DAO were significantly correlated with the relative abundances of Megasphaera, Prevotella_9, Streptococcu, Bifidobacterium (displaying a negative correlation), and Ligilactobacillus, Staphylococcus (displaying a positive correlation) (P < 0.05). Furthermore, the serum levels of D-lactate",What is the relationship between benzoic acid (BA) and Bifidobacterium ?,negative
benzoic acid (BA),Ligilactobacillus,"exhibits Spearman's correlations between the relative abundance of intestinal microbiota at the genus level and the parameters of inflammation and intestinal function in mice. The cecal levels of butyric acid demonstrated significant correlations with the relative abundances of Staphylococcus, Lactobacillus (showing a negative correlation), Megasphaera, and Prevotella_9 (showing a positive correlation) (P < 0.05). In terms of inflammation, the serum levels of IL-1β showed a strong correlation with the relative abundances of Megasphaera, Prevotella_9 (displaying a negative correlation), and Lactobacillus (displaying a positive correlation) (P < 0.01). Moreover, the serum levels of INF-γ exhibited a positive correlation with the relative abundance of Mucispirillum (P < 0.05). Regarding intestinal integrity, the serum levels of DAO were significantly correlated with the relative abundances of Megasphaera, Prevotella_9, Streptococcu, Bifidobacterium (displaying a negative correlation), and Ligilactobacillus, Staphylococcus (displaying a positive correlation) (P < 0.05). Furthermore, the serum levels of D-lactate",What is the relationship between benzoic acid (BA) and Ligilactobacillus?,negative
benzoic acid (BA),Colidextribacter ,displayed a negative correlation with the relative abundance of Colidextribacter (P < 0.05).,What is the relationship between benzoic acid (BA) and Colidextribacter ?,negative
super-comminuted dietary fiber from pomelo peel (SCPPDF),Lactobacillus,"while those of Staphylococcus and Corynebacterium_1 increased significantly (P < 0.05), which were the most dominant and second-most dominant genera in the HFD group, respectively. However, after SCPPDF supplementation, the relative abundances of Staphylococcus and Corynebacterium_1 decreased significantly, and those of Corynebacterium_1 (in all SCPPDF groups) and Staphylococcus (in SCPPDF-L and SCPPDF-H groups) decreased to levels with insignificant differences as compared to the ND group. The relative abundance of Bifidobacterium in all the SCPPDF groups and that ",What is the relationship between super-comminuted dietary fiber from pomelo peel (SCPPDF) and Lactobacillus?,negative
super-comminuted dietary fiber from pomelo peel (SCPPDF),Bifidobacterium,"while those of Staphylococcus and Corynebacterium_1 increased significantly (P < 0.05), which were the most dominant and second-most dominant genera in the HFD group, respectively. However, after SCPPDF supplementation, the relative abundances of Staphylococcus and Corynebacterium_1 decreased significantly, and those of Corynebacterium_1 (in all SCPPDF groups) and Staphylococcus (in SCPPDF-L and SCPPDF-H groups) decreased to levels with insignificant differences as compared to the ND group. The relative abundance of Bifidobacterium in all the SCPPDF groups and that ",What is the relationship between super-comminuted dietary fiber from pomelo peel (SCPPDF) and Bifidobacterium?,negative
super-comminuted dietary fiber from pomelo peel (SCPPDF),Alloprevotella ,"while those of Staphylococcus and Corynebacterium_1 increased significantly (P < 0.05), which were the most dominant and second-most dominant genera in the HFD group, respectively. However, after SCPPDF supplementation, the relative abundances of Staphylococcus and Corynebacterium_1 decreased significantly, and those of Corynebacterium_1 (in all SCPPDF groups) and Staphylococcus (in SCPPDF-L and SCPPDF-H groups) decreased to levels with insignificant differences as compared to the ND group. The relative abundance of Bifidobacterium in all the SCPPDF groups and that ",What is the relationship between super-comminuted dietary fiber from pomelo peel (SCPPDF) and Alloprevotella ?,negative
super-comminuted dietary fiber from pomelo peel (SCPPDF),Staphylococcus ,"while those of Staphylococcus and Corynebacterium_1 increased significantly (P < 0.05), which were the most dominant and second-most dominant genera in the HFD group, respectively. However, after SCPPDF supplementation, the relative abundances of Staphylococcus and Corynebacterium_1 decreased significantly, and those of Corynebacterium_1 (in all SCPPDF groups) and Staphylococcus (in SCPPDF-L and SCPPDF-H groups) decreased to levels with insignificant differences as compared to the ND group. The relative abundance of Bifidobacterium in all the SCPPDF groups and that ",What is the relationship between super-comminuted dietary fiber from pomelo peel (SCPPDF) and Staphylococcus ?,positive
super-comminuted dietary fiber from pomelo peel (SCPPDF),Corynebacterium,"while all the SCPPDF supplementation groups significantly decreased its abundance; its abundance in SCPPDF-L and SCPPDF-H groups decreased to levels, which were not significantly different from that in the ND group. Furthermore, the relative abundances of all species, belonging to Lactobacillus, increased after SCPPDF supplementation, among which Lactobacillus gasseri and Lactobacillus vaginalis in the SCPPDF-H group were significantly higher than those in the HFD group, while Lactobacillus acidophilus in SCPPDF-L and SCPPDF-M groups were significantly higher than those in both the HFD and ND groups (Fig. 5E).",What is the relationship between super-comminuted dietary fiber from pomelo peel (SCPPDF) and Corynebacterium?,positive
super-comminuted dietary fiber from pomelo peel (SCPPDF),Lactobacillus ,"while all the SCPPDF supplementation groups significantly decreased its abundance; its abundance in SCPPDF-L and SCPPDF-H groups decreased to levels, which were not significantly different from that in the ND group. Furthermore, the relative abundances of all species, belonging to Lactobacillus, increased after SCPPDF supplementation, among which Lactobacillus gasseri and Lactobacillus vaginalis in the SCPPDF-H group were significantly higher than those in the HFD group, while Lactobacillus acidophilus in SCPPDF-L and SCPPDF-M groups were significantly higher than those in both the HFD and ND groups (Fig. 5E).",What is the relationship between super-comminuted dietary fiber from pomelo peel (SCPPDF) and Lactobacillus ?,positive
super-comminuted dietary fiber from pomelo peel (SCPPDF),Firmicutes(Bacillota),"As shown in Fig. 6, there were 13 bacterial taxa, which were significantly correlated with the obesity indexes. Firmicutes, Staphylococcus, Corynebacterium_1, Enterorhabdus, and Staphylococcus saprophyticus were significantly positively correlated with obesity indexes,",What is the relationship between super-comminuted dietary fiber from pomelo peel (SCPPDF) and Firmicutes(Bacillota)?,positive
super-comminuted dietary fiber from pomelo peel (SCPPDF),Staphylococcus,"As shown in Fig. 6, there were 13 bacterial taxa, which were significantly correlated with the obesity indexes. Firmicutes, Staphylococcus, Corynebacterium_1, Enterorhabdus, and Staphylococcus saprophyticus were significantly positively correlated with obesity indexes,",What is the relationship between super-comminuted dietary fiber from pomelo peel (SCPPDF) and Staphylococcus?,positive
super-comminuted dietary fiber from pomelo peel (SCPPDF),Enterorhabdus,"As shown in Fig. 6, there were 13 bacterial taxa, which were significantly correlated with the obesity indexes. Firmicutes, Staphylococcus, Corynebacterium_1, Enterorhabdus, and Staphylococcus saprophyticus were significantly positively correlated with obesity indexes,",What is the relationship between super-comminuted dietary fiber from pomelo peel (SCPPDF) and Enterorhabdus?,positive
super-comminuted dietary fiber from pomelo peel (SCPPDF),Staphylococcus ,"As shown in Fig. 6, there were 13 bacterial taxa, which were significantly correlated with the obesity indexes. Firmicutes, Staphylococcus, Corynebacterium_1, Enterorhabdus, and Staphylococcus saprophyticus were significantly positively correlated with obesity indexes,",What is the relationship between super-comminuted dietary fiber from pomelo peel (SCPPDF) and Staphylococcus ?,positive
super-comminuted dietary fiber from pomelo peel (SCPPDF),saprophyticus ,"As shown in Fig. 6, there were 13 bacterial taxa, which were significantly correlated with the obesity indexes. Firmicutes, Staphylococcus, Corynebacterium_1, Enterorhabdus, and Staphylococcus saprophyticus were significantly positively correlated with obesity indexes,",What is the relationship between super-comminuted dietary fiber from pomelo peel (SCPPDF) and saprophyticus ?,positive
super-comminuted dietary fiber from pomelo peel (SCPPDF),Bacteroidetes(Bacteroidia),"In contrast, Bacteroidetes, Bacteroides, Parasutterella, Lactobacillus, Bifidobacterium, Lactobacillus gasseri, Lactobacillus vaginalis, and Coriobacteriacea were significantly negatively correlated with the obesity indexes, such as BW, kidney and heart weights, eWAT, TG and LCI. Allobaculum and Lactobacillus acidophilus were negatively correlated with TC and AI (P < 0.05 or P < 0.01). Alloprevotella was negatively correlated with ALT and AST (P < 0.05). Faecalibaculum was negatively correlated with HDL-C (P < 0.05).",What is the relationship between super-comminuted dietary fiber from pomelo peel (SCPPDF) and Bacteroidetes(Bacteroidia)?,negative
super-comminuted dietary fiber from pomelo peel (SCPPDF),Bacteroides,"In contrast, Bacteroidetes, Bacteroides, Parasutterella, Lactobacillus, Bifidobacterium, Lactobacillus gasseri, Lactobacillus vaginalis, and Coriobacteriacea were significantly negatively correlated with the obesity indexes, such as BW, kidney and heart weights, eWAT, TG and LCI. Allobaculum and Lactobacillus acidophilus were negatively correlated with TC and AI (P < 0.05 or P < 0.01). Alloprevotella was negatively correlated with ALT and AST (P < 0.05). Faecalibaculum was negatively correlated with HDL-C (P < 0.05).",What is the relationship between super-comminuted dietary fiber from pomelo peel (SCPPDF) and Bacteroides?,negative
