DISEASE,MICROBE,EVIDENCE,QUESTIONS,RELATION
coronary artery disease (CAD),Lactobacillus,A pilot study including 21 men with stable coronary artery disease showed that a 6-week daily supplementation with Lactobacillus plantarum 299v (Lp299v) has a favorable impact on CVD inducing changes in gut microbiome-derived circulating metabolites.,What is the relationship between coronary artery disease (CAD) and Lactobacillus?,positive
atherosclerosis,Bacteroides,Some studies show that Bacteroides depletion in humans is associated with higher incidence of symptomatic atherosclerosis.,What is the relationship between atherosclerosis and Bacteroides?,negative
atherosclerosis,Bacteroides,"In particular, Bacteroides supplementation in atherosclerosis-prone mice reduces LPS production, and successfully ameliorates endotoxemia, suppressing pro-inflammatory immune responses [139].",What is the relationship between atherosclerosis and Bacteroides?,positive
stroke,Lactobacillus bulgaricus,"A recent study conducted in mice models of is- chemic stroke showed that ischemic brain injury was reduced by 52% and the neurological outcome ameliorated after treatment with probiotic bacteria (such as Bifidobacterium breve, Lactobacillus bulgaricus, Lactobacillus casei, and Actobacillus acidophilus); the neuroprotective effect was probably due to the anti-inflammatory properties and modulation of oxidative stress damage [143].",What is the relationship between stroke and Lactobacillus bulgaricus?,positive
stroke,Bifidobacterium breve,"A recent study conducted in mice models of is- chemic stroke showed that ischemic brain injury was reduced by 52% and the neurological outcome ameliorated after treatment with probiotic bacteria (such as Bifidobacterium breve, Lactobacillus bulgaricus, Lactobacillus casei, and Actobacillus acidophilus); the neuroprotective effect was probably due to the anti-inflammatory properties and modulation of oxidative stress damage [143].",What is the relationship between stroke and Bifidobacterium breve?,positive
stroke,Lactobacillus casei,"A recent study conducted in mice models of is- chemic stroke showed that ischemic brain injury was reduced by 52% and the neurological outcome ameliorated after treatment with probiotic bacteria (such as Bifidobacterium breve, Lactobacillus bulgaricus, Lactobacillus casei, and Actobacillus acidophilus); the neuroprotective effect was probably due to the anti-inflammatory properties and modulation of oxidative stress damage [143].",What is the relationship between stroke and Lactobacillus casei?,positive
stroke,Bifidobacterium,"A recent study conducted in mice models of is- chemic stroke showed that ischemic brain injury was reduced by 52% and the neurological outcome ameliorated after treatment with probiotic bacteria (such as Bifidobacterium breve, Lactobacillus bulgaricus, Lactobacillus casei, and Actobacillus acidophilus); the neuroprotective effect was probably due to the anti-inflammatory properties and modulation of oxidative stress damage [143].",What is the relationship between stroke and Bifidobacterium?,positive
stroke,Lactobacillus,"A recent study conducted in mice models of is- chemic stroke showed that ischemic brain injury was reduced by 52% and the neurological outcome ameliorated after treatment with probiotic bacteria (such as Bifidobacterium breve, Lactobacillus bulgaricus, Lactobacillus casei, and Actobacillus acidophilus); the neuroprotective effect was probably due to the anti-inflammatory properties and modulation of oxidative stress damage [143].",What is the relationship between stroke and Lactobacillus?,positive
myocardial infarction,Lactobacillaceae,"In another study, a 28-day treatment with dapagliflozin, another SGLT2i, significantly improved cardiac function in the non-diabetic myocardial infarction mice model and modified the gut microbiota composition, increasing the abundance of beneficial bacteria such as Lactobacillaceae [148].",What is the relationship between myocardial infarction and Lactobacillaceae?,positive
myocardial infarction,Lactobacillaceae,"Muribaculaceae and Lactobacillaceae were the main components of the intestinal microbial community after treatment with dapagliflozin, while Muribaculaceae and Erysipelotrichaceae were the ones associated with myocardial infarction.",What is the relationship between myocardial infarction and Lactobacillaceae?,positive
heart failure (HF),Eggerthella lenta,"Pharmacomicrobiomics is also applied in the cardiovascular field; in fact, it is known that digoxin, a drug used in heart failure, is ineffective in 1 in 10 patients because it is likely converted into an inactive form, dihy- drodigoxin, by Eggerthella lenta [155].",What is the relationship between heart failure (HF) and Eggerthella lenta?,negative
heart failure (HF),Eggerthella,"Pharmacomicrobiomics is also applied in the cardiovascular field; in fact, it is known that digoxin, a drug used in heart failure, is ineffective in 1 in 10 patients because it is likely converted into an inactive form, dihydrodigoxin, by Eggerthella lenta [155].",What is the relationship between heart failure (HF) and Eggerthella?,negative
chronic obstructive pulmonary disease (COPD),Rothia,"16 S rRNA gene  sequencing of COPD fecal microbiome results showed that genera  increased in abundance in COPD include Streptococcus and Rothia, both  common oral bacteria as well as occurring in the gut, Romboutsia and  Intestinibacter from the family Peptostreptococcaceae and Escherichia.",What is the relationship between chronic obstructive pulmonary disease (COPD) and Rothia?,positive
chronic obstructive pulmonary disease (COPD),Peptostreptococcaceae,"16 S rRNA gene  sequencing of COPD fecal microbiome results showed that genera  increased in abundance in COPD include Streptococcus and Rothia, both  common oral bacteria as well as occurring in the gut, Romboutsia and  Intestinibacter from the family Peptostreptococcaceae and Escherichia.",What is the relationship between chronic obstructive pulmonary disease (COPD) and Peptostreptococcaceae?,positive
chronic obstructive pulmonary disease (COPD),Streptococcus,"16 S rRNA gene  sequencing of COPD fecal microbiome results showed that genera  increased in abundance in COPD include Streptococcus and Rothia, both  common oral bacteria as well as occurring in the gut, Romboutsia and  Intestinibacter from the family Peptostreptococcaceae and Escherichia.",What is the relationship between chronic obstructive pulmonary disease (COPD) and Streptococcus?,positive
chronic obstructive pulmonary disease (COPD),Escherichia,"16 S rRNA gene  sequencing of COPD fecal microbiome results showed that genera  increased in abundance in COPD include Streptococcus and Rothia, both  common oral bacteria as well as occurring in the gut, Romboutsia and  Intestinibacter from the family Peptostreptococcaceae and Escherichia.",What is the relationship between chronic obstructive pulmonary disease (COPD) and Escherichia?,positive
chronic obstructive pulmonary disease (COPD),Ruminococcaceae,"Genera decreased in COPD include Bacteroides, Roseburia and Lachno  spira from the family Lachnospiraceae and several unnamed genera of  Ruminococcaceae.",What is the relationship between chronic obstructive pulmonary disease (COPD) and Ruminococcaceae?,negative
chronic obstructive pulmonary disease (COPD),Lachnospiraceae,"Genera decreased in COPD include Bacteroides, Roseburia and Lachno  spira from the family Lachnospiraceae and several unnamed genera of  Ruminococcaceae.",What is the relationship between chronic obstructive pulmonary disease (COPD) and Lachnospiraceae?,negative
chronic obstructive pulmonary disease (COPD),Bacteroides,"Genera decreased in COPD include Bacteroides, Roseburia and Lachno  spira from the family Lachnospiraceae and several unnamed genera of  Ruminococcaceae.",What is the relationship between chronic obstructive pulmonary disease (COPD) and Bacteroides?,negative
chronic obstructive pulmonary disease (COPD),Roseburia,"Genera decreased in COPD include Bacteroides, Roseburia and Lachno  spira from the family Lachnospiraceae and several unnamed genera of  Ruminococcaceae.",What is the relationship between chronic obstructive pulmonary disease (COPD) and Roseburia?,negative
chronic obstructive pulmonary disease (COPD),Christensenellaceae,"Similarly, metagenomic sequencing revealed a  significantly higher prevalence of several species in COPD patients,  including Rothia and Streptococcus SPP, Romboutsia Timonensis and  Intestinibacter Bartlettii, Other species are more prevalent in healthy  controls (e.g., Coprobacter Fastidiosus and Coprobacter Secundus, Rike  nellaceae genus RC9 and The Christensenellaceae family CAg-74).",What is the relationship between chronic obstructive pulmonary disease (COPD) and Christensenellaceae?,negative
chronic obstructive pulmonary disease (COPD),Streptococcus,"Similarly, metagenomic sequencing revealed a  significantly higher prevalence of several species in COPD patients,  including Rothia and Streptococcus SPP, Romboutsia Timonensis and  Intestinibacter Bartlettii, Other species are more prevalent in healthy  controls (e.g., Coprobacter Fastidiosus and Coprobacter Secundus, Rike  nellaceae genus RC9 and The Christensenellaceae family CAg-74).",What is the relationship between chronic obstructive pulmonary disease (COPD) and Streptococcus?,positive
chronic obstructive pulmonary disease (COPD),Rothia,"Similarly, metagenomic sequencing revealed a  significantly higher prevalence of several species in COPD patients,  including Rothia and Streptococcus SPP, Romboutsia Timonensis and  Intestinibacter Bartlettii, Other species are more prevalent in healthy  controls (e.g., Coprobacter Fastidiosus and Coprobacter Secundus, Rike  nellaceae genus RC9 and The Christensenellaceae family CAg-74).",What is the relationship between chronic obstructive pulmonary disease (COPD) and Rothia?,positive
chronic obstructive pulmonary disease (COPD),Streptococcus,Finally Streptococcus species were identified as key differentiators be  tween COPD and healthy samples [44].,What is the relationship between chronic obstructive pulmonary disease (COPD) and Streptococcus?,positive
chronic obstructive pulmonary disease (COPD),Streptococcus,"Therefore, in the future, more  studies in COPD patients are needed to investigate and confirm the role  of Streptococcus species in COPD and to provide new therapeutic stra  tegies for COPD.",What is the relationship between chronic obstructive pulmonary disease (COPD) and Streptococcus?,positive
chronic obstructive pulmonary disease (COPD),Parabacteroides,described the mechanism of gut  microbiota affecting COPD and successfully isolated the Parabacteroides  Goldsteinii MTS01 and its derived LPS (P. Goldsteinii-LPS) with COPD  improvement effect [53].,What is the relationship between chronic obstructive pulmonary disease (COPD) and Parabacteroides?,negative
lung cancer,Micrococcus,"In addition, patients non-small cell lung cancer  (NSCLC) had less abundance of Micrococcus bromide, Dialister, and  Sutterella genera than those who did not [64,65].",What is the relationship between lung cancer and Micrococcus?,negative
lung cancer,Sutterella,"In addition, patients non-small cell lung cancer  (NSCLC) had less abundance of Micrococcus bromide, Dialister, and  Sutterella genera than those who did not [64,65].",What is the relationship between lung cancer and Sutterella?,negative
lung cancer,Dialister,"In addition, patients non-small cell lung cancer  (NSCLC) had less abundance of Micrococcus bromide, Dialister, and  Sutterella genera than those who did not [64,65].",What is the relationship between lung cancer and Dialister?,negative
lung cancer,Enterococcus hirae,"Translocation of bacteria from the GI  tract can enhance tumor-specific responses through TLRs, or through the  induction of memory responses, as observed for relations between  Enterococcus hirae and small-cell lung cancer (SCLC) [70].",What is the relationship between lung cancer and Enterococcus hirae?,positive
lung cancer,Enterococcus,"Translocation of bacteria from the GI  tract can enhance tumor-specific responses through TLRs, or through the  induction of memory responses, as observed for relations between  Enterococcus hirae and small-cell lung cancer (SCLC) [70].",What is the relationship between lung cancer and Enterococcus?,positive
severe acute respiratory syndrome(SARS),Bacteroides,The abundance of Bacteroides was negatively correlated with  the severity of COVID-19 and the fecal volume of SARS-CoV-2 [76].,What is the relationship between severe acute respiratory syndrome(SARS) and Bacteroides?,negative
diabetic nephropathy,Lactobacillus,"Studies demonstrate for oral delivery of human ACE2 using probiotic  specie, Lactobacillus paracasei (LP), as a live vector for an effective  treatment against Diabetes in the mouse model of diabetic nephropathy.",What is the relationship between diabetic nephropathy and Lactobacillus?,negative
diabetes,Lactobacillus,"Studies demonstrate for oral delivery of human ACE2 using probiotic  specie, Lactobacillus paracasei (LP), as a live vector for an effective  treatment against Diabetes in the mouse model of diabetic nephropathy.",What is the relationship between diabetes and Lactobacillus?,negative
lung cancer,Lachnospira,"Besides, in the recent studies of lung cancer, the key species  of gut microbiota in lung cancer were Roseburia, Lachnospira, Anaeros  tipes and Lachnoclostridium in the healthy controls (HC) group; Lacto  bacillus in early-stage lung cancer (ESLC) group; And Escherichia_Shigella  in non-early-stage lung cancer (NESLC) group.",What is the relationship between lung cancer and Lachnospira?,negative
lung cancer,Roseburia,"Besides, in the recent studies of lung cancer, the key species  of gut microbiota in lung cancer were Roseburia, Lachnospira, Anaeros  tipes and Lachnoclostridium in the healthy controls (HC) group; Lacto  bacillus in early-stage lung cancer (ESLC) group; And Escherichia_Shigella  in non-early-stage lung cancer (NESLC) group.",What is the relationship between lung cancer and Roseburia?,negative
lung cancer,bacillus,"Besides, in the recent studies of lung cancer, the key species  of gut microbiota in lung cancer were Roseburia, Lachnospira, Anaeros  tipes and Lachnoclostridium in the healthy controls (HC) group; Lacto  bacillus in early-stage lung cancer (ESLC) group; And Escherichia_Shigella  in non-early-stage lung cancer (NESLC) group.",What is the relationship between lung cancer and bacillus?,positive
lung cancer,Anaerostipes,"In the different stages of  lung cancer, Anaerostipes, Lachnoclostridium, Roseburia and Lachnospira  were the key differential genera in the HC.",What is the relationship between lung cancer and Anaerostipes?,negative
lung cancer,Lachnospira,"In the different stages of  lung cancer, Anaerostipes, Lachnoclostridium, Roseburia and Lachnospira  were the key differential genera in the HC.",What is the relationship between lung cancer and Lachnospira?,negative
lung cancer,Roseburia,"In the different stages of  lung cancer, Anaerostipes, Lachnoclostridium, Roseburia and Lachnospira  were the key differential genera in the HC.",What is the relationship between lung cancer and Roseburia?,negative
chronic obstructive pulmonary disease (COPD),Proteobacteria,Chronic Obstructive Pulmo  nary Disease: Proteobacteria and Actinomycetes  can stimulate immune cell infiltration to  aggravate COPD.,What is the relationship between chronic obstructive pulmonary disease (COPD) and Proteobacteria?,positive
diabetes,Akkermansia,"For instance, Akkermansia muciniphila, a single species of the human gut microbiota, has gained considerable attention since reductions in its abundance are closely linked to insulin resistance, diabetes and other cardiometabolic comorbidities (H anninen, et al., 2018; Cani, et al., 2019).",What is the relationship between diabetes and Akkermansia?,negative
non-alcoholic fatty liver disease (NAFLD),Bacteroidetes,"Members of the phylum Firmicutes were detected at elevated levels in individuals with NAFLD relative to nonobese controls (80), whereas contributions of Bacteroidetes were decreased in adult patients with NASH compared with subjects with simple steatosis and healthy individuals (69).",What is the relationship between non-alcoholic fatty liver disease (NAFLD) and Bacteroidetes?,negative
non-alcoholic fatty liver disease (NAFLD),Firmicutes,"Members of the phylum Firmicutes were detected at elevated levels in individuals with NAFLD relative to nonobese controls (80), whereas contributions of Bacteroidetes were decreased in adult patients with NASH compared with subjects with simple steatosis and healthy individuals (69).",What is the relationship between non-alcoholic fatty liver disease (NAFLD) and Firmicutes?,positive
inflammatory bowel disease (IBD),Enterobacteriaceae,Humanized models can also be used for precision medicine approaches such as precise editing of the intestinal microbiome: Mice transplanted with intestinal mi- crobiota from patients with inflammatory bowel disease showed significantly decreased concentrations of Enterobacte- riaceae after treatment with tungstate that selectively blocked metabolic pathways in Enterobacteriaceae; this was associated with markedly improved intestinal inflammation (121).,What is the relationship between inflammatory bowel disease (IBD) and Enterobacteriaceae?,positive
preeclampsia,Bifidobacterium,"For instance, MR analysis has revealed that Bifidobacterium is causally linked to preeclampsia-eclampsia (Li et al., 2022), and the fecal abundance of Oscillibacter and Alistipes is causally associated with decreased triglyceride levels (Liu et al., 2022).",What is the relationship between preeclampsia and Bifidobacterium?,positive
gallstones,Lactobacillus,"Additionally, the abundance of Lactobacillus strains significantly reduced in lithogenic diet-induced gallstones through the mediation of FXR signaling (Ye et al., 2022).",What is the relationship between gallstones and Lactobacillus?,negative
gallstones,Clostridium,"For instance, patients with gallstones have elevated levels of Clostridium in the stool (Grigor eva and Romanova, 2020), and Clostridium species were isolated from gallbladder stones (Liu et al., 2000), consistent with the results of our study.",What is the relationship between gallstones and Clostridium?,positive
psoriatic arthritis,Parabacteroides,also reported differences between patients with skin psoriasis and psoriatic arthritis: the number of Akkermansia and Ruminococcus was increased and the abundance of Parabacteroides and Coprobacillus decreased in patients suffering only from skin psoriasis in comparison to psoriatic arthritis [14].,What is the relationship between psoriatic arthritis and Parabacteroides?,negative
psoriatic arthritis,Coprobacillus,also reported differences between patients with skin psoriasis and psoriatic arthritis: the number of Akkermansia and Ruminococcus was increased and the abundance of Parabacteroides and Coprobacillus decreased in patients suffering only from skin psoriasis in comparison to psoriatic arthritis [14].,What is the relationship between psoriatic arthritis and Coprobacillus?,negative
psoriatic arthritis,Ruminococcus,also reported differences between patients with skin psoriasis and psoriatic arthritis: the number of Akkermansia and Ruminococcus was increased and the abundance of Parabacteroides and Coprobacillus decreased in patients suffering only from skin psoriasis in comparison to psoriatic arthritis [14].,What is the relationship between psoriatic arthritis and Ruminococcus?,positive
psoriatic arthritis,Akkermansia,also reported differences between patients with skin psoriasis and psoriatic arthritis: the number of Akkermansia and Ruminococcus was increased and the abundance of Parabacteroides and Coprobacillus decreased in patients suffering only from skin psoriasis in comparison to psoriatic arthritis [14].,What is the relationship between psoriatic arthritis and Akkermansia?,positive
psoriasis (PS),Parabacteroides,also reported differences between patients with skin psoriasis and psoriatic arthritis: the number of Akkermansia and Ruminococcus was increased and the abundance of Parabacteroides and Coprobacillus decreased in patients suffering only from skin psoriasis in comparison to psoriatic arthritis [14].,What is the relationship between psoriasis (PS) and Parabacteroides?,negative
psoriasis (PS),Coprobacillus,also reported differences between patients with skin psoriasis and psoriatic arthritis: the number of Akkermansia and Ruminococcus was increased and the abundance of Parabacteroides and Coprobacillus decreased in patients suffering only from skin psoriasis in comparison to psoriatic arthritis [14].,What is the relationship between psoriasis (PS) and Coprobacillus?,negative
psoriasis (PS),Ruminococcus,also reported differences between patients with skin psoriasis and psoriatic arthritis: the number of Akkermansia and Ruminococcus was increased and the abundance of Parabacteroides and Coprobacillus decreased in patients suffering only from skin psoriasis in comparison to psoriatic arthritis [14].,What is the relationship between psoriasis (PS) and Ruminococcus?,negative
psoriasis (PS),Akkermansia,also reported differences between patients with skin psoriasis and psoriatic arthritis: the number of Akkermansia and Ruminococcus was increased and the abundance of Parabacteroides and Coprobacillus decreased in patients suffering only from skin psoriasis in comparison to psoriatic arthritis [14].,What is the relationship between psoriasis (PS) and Akkermansia?,negative
type 2 diabetes (T2D),Bacteroidetes,"The increase in the number of Firmicutes and a reduction in Bacteroidetes phyla, expressed as Firmicutes/Bacteroidetes (F/B) ratio, was also observed in patients with reduced physical activity and diseases such as inflammatory bowel diseases, obesity [28], type 2 diabetes [25] and several cardiovascular diseases [29].",What is the relationship between type 2 diabetes (T2D) and Bacteroidetes?,negative
type 2 diabetes (T2D),Firmicutes,"The increase in the number of Firmicutes and a reduction in Bacteroidetes phyla, expressed as Firmicutes/Bacteroidetes (F/B) ratio, was also observed in patients with reduced physical activity and diseases such as inflammatory bowel diseases, obesity [28], type 2 diabetes [25] and several cardiovascular diseases [29].",What is the relationship between type 2 diabetes (T2D) and Firmicutes?,positive
obeseity (obese),Bacteroidetes,"The increase in the number of Firmicutes and a reduction in Bacteroidetes phyla, expressed as Firmicutes/Bacteroidetes (F/B) ratio, was also observed in patients with reduced physical activity and diseases such as inflammatory bowel diseases, obesity [28], type 2 diabetes [25] and several cardiovascular diseases [29].",What is the relationship between obeseity (obese) and Bacteroidetes?,negative
obeseity (obese),Firmicutes,"The increase in the number of Firmicutes and a reduction in Bacteroidetes phyla, expressed as Firmicutes/Bacteroidetes (F/B) ratio, was also observed in patients with reduced physical activity and diseases such as inflammatory bowel diseases, obesity [28], type 2 diabetes [25] and several cardiovascular diseases [29].",What is the relationship between obeseity (obese) and Firmicutes?,positive
psoriasis (PS),Bacteroidetes,"Since the acetate concentration is positively associated with ghrelin level and insulin resistance, while butyrate concentration is negatively correlated with inflammation [34,35], the change in Firmicutes and Bacteroidetes abundance in the gut affecting the levels of SCFAs may be another common path in the pathogenesis of psoriasis and obesity, which are often asso- ciated.",What is the relationship between psoriasis (PS) and Bacteroidetes?,negative
psoriasis (PS),Firmicutes,"Since the acetate concentration is positively associated with ghrelin level and insulin resistance, while butyrate concentration is negatively correlated with inflammation [34,35], the change in Firmicutes and Bacteroidetes abundance in the gut affecting the levels of SCFAs may be another common path in the pathogenesis of psoriasis and obesity, which are often asso- ciated.",What is the relationship between psoriasis (PS) and Firmicutes?,positive
obeseity (obese),Bacteroidetes,"Since the acetate concentration is positively associated with ghrelin level and insulin resistance, while butyrate concentration is negatively correlated with inflammation [34,35], the change in Firmicutes and Bacteroidetes abundance in the gut affecting the levels of SCFAs may be another common path in the pathogenesis of psoriasis and obesity, which are often asso- ciated.",What is the relationship between obeseity (obese) and Bacteroidetes?,negative
obeseity (obese),Firmicutes,"Since the acetate concentration is positively associated with ghrelin level and insulin resistance, while butyrate concentration is negatively correlated with inflammation [34,35], the change in Firmicutes and Bacteroidetes abundance in the gut affecting the levels of SCFAs may be another common path in the pathogenesis of psoriasis and obesity, which are often asso- ciated.",What is the relationship between obeseity (obese) and Firmicutes?,positive
psoriasis (PS),Lactobacillus,"The first known report on such a dependence was written by Vijayashankar and Raghunath, who, in 2012, described a case of pustular psoriasis in a 47-year-old woman who was successfully treated with Lactobacillus sporogenes adminis- tration (no specific number of CFU per dose was reported) three times a day and with biotin 10mg once a day [75].",What is the relationship between psoriasis (PS) and Lactobacillus?,negative
psoriasis (PS),Lactobacillus pentosus,"Other evidence come from animal studies with imiquimod-induced psoriasis-like skin inflammation in mice, where the oral administration of Lactobacillus pentosus GMNL-77 decreased the plasma level of proinflammatory cytokines and reduced the number of erythematous scaling lesions [76] and the administration of Lactobacillus sakei proBio-65 extract decreased IL-19, IL-17A, and IL-23 levels [77].",What is the relationship between psoriasis (PS) and Lactobacillus pentosus?,negative
psoriasis (PS),Lactobacillus sakei,"Other evidence come from animal studies with imiquimod-induced psoriasis-like skin inflammation in mice, where the oral administration of Lactobacillus pentosus GMNL-77 decreased the plasma level of proinflammatory cytokines and reduced the number of erythematous scaling lesions [76] and the administration of Lactobacillus sakei proBio-65 extract decreased IL-19, IL-17A, and IL-23 levels [77].",What is the relationship between psoriasis (PS) and Lactobacillus sakei?,negative
psoriasis (PS),Lactobacillus,"Other evidence come from animal studies with imiquimod-induced psoriasis-like skin inflammation in mice, where the oral administration of Lactobacillus pentosus GMNL-77 decreased the plasma level of proinflammatory cytokines and reduced the number of erythematous scaling lesions [76] and the administration of Lactobacillus sakei proBio-65 extract decreased IL-19, IL-17A, and IL-23 levels [77].",What is the relationship between psoriasis (PS) and Lactobacillus?,negative
common variable immunodeficiency (CVID),Gammaproteobacteria,"recently showed that high concentrations of the gut microbiota-dependent metabolite trimethylamine N-oxide (TMAO) is associated with systemic inflammation and increased gut microbial abundance of Gammaproteobacteria in CVID patients, suggesting that TMAO could represent a link between systemic inflammation and gut microbial dys- biosis.",What is the relationship between common variable immunodeficiency (CVID) and Gammaproteobacteria?,positive
common variable immunodeficiency (CVID),Gammaproteobacteria,"Elevated concentrations of the gut microbiota-dependent metabolite TMAO is associated with systemic inflammation and increased gut microbial abundance of Gammaproteobacteria in CVID patients A single broad-spectrum antibiotic (rifaximin) does not modify microbial translocation, immune cell activation, and immune dysregulation [126] [131] [132] [133] sIgAD Unknown Unknown Adequate IgM and/or IgG induction in sIgAD may protect from endotoxemia, while this compensatory response is lacking in CVID.",What is the relationship between common variable immunodeficiency (CVID) and Gammaproteobacteria?,positive
autism spectrum disorder (ASD),bacteroides,"A lowered firmicutes: bacteroides ratio is common in ASD and the VLCKD, by improving this ratio, was able to enhance ASD behavioral symptoms.",What is the relationship between autism spectrum disorder (ASD) and bacteroides?,positive
autism spectrum disorder (ASD),firmicutes,"A lowered firmicutes: bacteroides ratio is common in ASD and the VLCKD, by improving this ratio, was able to enhance ASD behavioral symptoms.",What is the relationship between autism spectrum disorder (ASD) and firmicutes?,positive
colorectal cancer (CRC),E. rectale,"Recently, a study in epileptic children found a reduction of Bifidobacteria, as well as E. rectale and Dialister, which are correlated with health promoting benefits such as the prevention of colorectal cancer, IBS and necrotizing entercolitis [76].",What is the relationship between colorectal cancer (CRC) and E. rectale?,negative
colorectal cancer (CRC),Bifidobacteria,"Recently, a study in epileptic children found a reduction of Bifidobacteria, as well as E. rectale and Dialister, which are correlated with health promoting benefits such as the prevention of colorectal cancer, IBS and necrotizing entercolitis [76].",What is the relationship between colorectal cancer (CRC) and Bifidobacteria?,negative
colorectal cancer (CRC),Dialister,"Recently, a study in epileptic children found a reduction of Bifidobacteria, as well as E. rectale and Dialister, which are correlated with health promoting benefits such as the prevention of colorectal cancer, IBS and necrotizing entercolitis [76].",What is the relationship between colorectal cancer (CRC) and Dialister?,negative
irritable bowel syndrome (IBS),E. rectale,"Recently, a study in epileptic children found a reduction of Bifidobacteria, as well as E. rectale and Dialister, which are correlated with health promoting benefits such as the prevention of colorectal cancer, IBS and necrotizing entercolitis [76].",What is the relationship between irritable bowel syndrome (IBS) and E. rectale?,negative
irritable bowel syndrome (IBS),Bifidobacteria,"Recently, a study in epileptic children found a reduction of Bifidobacteria, as well as E. rectale and Dialister, which are correlated with health promoting benefits such as the prevention of colorectal cancer, IBS and necrotizing entercolitis [76].",What is the relationship between irritable bowel syndrome (IBS) and Bifidobacteria?,negative
irritable bowel syndrome (IBS),Dialister,"Recently, a study in epileptic children found a reduction of Bifidobacteria, as well as E. rectale and Dialister, which are correlated with health promoting benefits such as the prevention of colorectal cancer, IBS and necrotizing entercolitis [76].",What is the relationship between irritable bowel syndrome (IBS) and Dialister?,negative
chronic kidney disease (CKD),Fusobacterium,"Previous studies have found that Fusobacterium nucleatum increased uremic toxin production and promoted renal disease development in a CKD rat model (Wang et al., 2020).",What is the relationship between chronic kidney disease (CKD) and Fusobacterium?,positive
type 2 diabetes (T2D),Prevotella,"Increased abundance of Prevotella was found to be associated with diseases featuring low-grade systemic inflammation, such as morbid obesity (Moreno-Indias et al., 2016), hypertension (Li et al., 2017), non-alcoholic fatty liver disease (Michail et al., 2015), and type 2 diabetes (Forslund et al., 2015).",What is the relationship between type 2 diabetes (T2D) and Prevotella?,positive
liver disease,Prevotella,"Increased abundance of Prevotella was found to be associated with diseases featuring low-grade systemic inflammation, such as morbid obesity (Moreno-Indias et al., 2016), hypertension (Li et al., 2017), non-alcoholic fatty liver disease (Michail et al., 2015), and type 2 diabetes (Forslund et al., 2015).",What is the relationship between liver disease and Prevotella?,positive
hypertension,Prevotella,"Increased abundance of Prevotella was found to be associated with diseases featuring low-grade systemic inflammation, such as morbid obesity (Moreno-Indias et al., 2016), hypertension (Li et al., 2017), non-alcoholic fatty liver disease (Michail et al., 2015), and type 2 diabetes (Forslund et al., 2015).",What is the relationship between hypertension and Prevotella?,positive
diabetes,Prevotella,"Increased abundance of Prevotella was found to be associated with diseases featuring low-grade systemic inflammation, such as morbid obesity (Moreno-Indias et al., 2016), hypertension (Li et al., 2017), non-alcoholic fatty liver disease (Michail et al., 2015), and type 2 diabetes (Forslund et al., 2015).",What is the relationship between diabetes and Prevotella?,positive
obeseity (obese),Prevotella,"Increased abundance of Prevotella was found to be associated with diseases featuring low-grade systemic inflammation, such as morbid obesity (Moreno-Indias et al., 2016), hypertension (Li et al., 2017), non-alcoholic fatty liver disease (Michail et al., 2015), and type 2 diabetes (Forslund et al., 2015).",What is the relationship between obeseity (obese) and Prevotella?,positive
anemia,Bifidobacteria,"In the good-response group, we observed an increase in one probiotic: Bifidobacteria (Messaoudi et al., 2011) with a predictive value (AUC = 0.77), suggesting that the addition of probiotics to the diet may be an adjuvant therapy for renal anemia and EH in ESRD.",What is the relationship between anemia and Bifidobacteria?,negative
pneumonia,Streptococcus,"Examples include human immunodeficiency virus and Sars-CoV2, as well as pathogenic bacteria such as Mycoplasma pneumonia and Streptococcus spp (35, 36).",What is the relationship between pneumonia and Streptococcus?,positive
pneumonia,Mycoplasma,"Examples include human immunodeficiency virus and Sars-CoV2, as well as pathogenic bacteria such as Mycoplasma pneumonia and Streptococcus spp (35, 36).",What is the relationship between pneumonia and Mycoplasma?,positive
arthritis,Collinsella,"SLE and APS patients showed increased relative abundance of Collinsella, which was previously found in rheumatic arthritis patients and is correlated with IL-17a production (15, 16).",What is the relationship between arthritis and Collinsella?,positive
antiphospholipid syndrome (APS),Collinsella,"SLE and APS patients showed increased relative abundance of Collinsella, which was previously found in rheumatic arthritis patients and is correlated with IL-17a production (15, 16).",What is the relationship between antiphospholipid syndrome (APS) and Collinsella?,positive
antiphospholipid syndrome (APS),Bilophila,"In another study with 22 APS patients and 19 healthy donors, a decrease of Bilophila genus and increase in genus Slackia in APS patients was observed (6).",What is the relationship between antiphospholipid syndrome (APS) and Bilophila?,negative
antiphospholipid syndrome (APS),Slackia,"In another study with 22 APS patients and 19 healthy donors, a decrease of Bilophila genus and increase in genus Slackia in APS patients was observed (6).",What is the relationship between antiphospholipid syndrome (APS) and Slackia?,positive
lupus,Bacteroidetes,This study found that the ratio Firmicutes to Bacteroidetes was inversely correlated with disease activity represented by the Systemic Lupus Disease Activity Index (r =  0.451; p=0.04) (14).,What is the relationship between lupus and Bacteroidetes?,negative
lupus,Firmicutes,This study found that the ratio Firmicutes to Bacteroidetes was inversely correlated with disease activity represented by the Systemic Lupus Disease Activity Index (r =  0.451; p=0.04) (14).,What is the relationship between lupus and Firmicutes?,positive
